Table,%N2,%Ar,%CO2,partial pressure / bar,T_i (K),CR?,chamber pressure? (bar),T_C,time (ms),phi,nominal pressure(atm)
1,40,60,0,0.403,290,9.5,9.81,746,0,0.3,10
1,40,60,0,0.406,336,9.6,9.76,845,0,0.3,10
1,40,60,0,0.41,351,9.5,9.73,876,0,0.3,10
1,40,60,0,0.41,364,9.5,9.61,901,0,0.3,10
1,0,100,0,0.35,290,9.1,10.09,920,0,0.3,10
1,0,100,0,0.35,311,9.1,10.02,978,63.4,0.3,10
1,0,100,0,0.35,336,9.1,9.81,1042,8.25,0.3,10
1,0,100,0,0.35,336,9.2,9.98,1048,8.25,0.3,10
1,0,100,0,0.36,351,8.9,9.78,1074,3.36,0.3,10
1,0,100,0,0.36,351,9,9.88,1077,3.05,0.3,10
2,60,0,40,0.98,336,10.2,20.2,683,0,0.3,20
2,60,0,40,0.98,351,10.1,20.03,707,54.5,0.3,20
2,60,0,40,0.98,351,10.2,20.07,707,56,0.3,20
2,40,0,60,0.806,290,9.8,20.3,750,26.23,0.3,20
2,0,40,60,0.805,290,9.8,20.3,750,26.23,0.3,20
2,0,40,60,0.8,311,9.8,20.21,801,26.7,0.3,20
2,0,40,60,0.8,311,9.8,20.21,800,26.9,0.3,20
2,0,40,60,0.8,336,9.8,19.79,854,42,0.3,20
2,0,40,60,0.8,336,9.7,19.66,852,44.1,0.3,20
2,0,40,60,0.81,351,9.7,19.84,886,38.15,0.3,20
2,0,40,60,0.81,351,9.6,19.52,885,39.34,0.3,20
2,0,40,60,0.8,364,9.7,19.48,913,26,0.3,20
2,0,40,60,0.81,364,9.7,19.56,911,30,0.3,20
2,0,100,0,0.62,290,9.3,18.42,925,37.3,0.3,20
2,0,100,0,0.64,290,9.3,19.06,926,33.9,0.3,20
2,0,100,0,0.65,311,9.4,19.19,984,10.07,0.3,20
2,0,100,0,0.65,311,9.4,19.26,985,9.89,0.3,20
2,0,100,0,0.625,336,9.4,18.33,1053,2.45,0.3,20
2,0,100,0,0.65,336,9.4,19.01,1052,2.29,0.3,20
3,60,0,40,1.4,336,10.3,29.41,685,128,0.3,30
3,60,0,40,1.4,336,10.3,29.47,685,131,0.3,30
3,60,0,40,1.406,351,10.2,28.82,707,40.5,0.3,30
3,60,0,40,1.41,351,10.2,28.85,707,39.7,0.3,30
3,60,40,0,1.1,290,9.9,28.17,754,13.6,0.3,30
3,60,40,0,1.13,290,9.9,29.02,754,13.35,0.3,30
3,60,40,0,1.155,311,9.8,29.2,801,10.5,0.3,30
3,60,40,0,1.155,311,9.9,29.28,801,10.35,0.3,30
3,60,40,0,1.16,336,10,29.44,858,12.8,0.3,30
3,60,40,0,1.16,336,1,29.39,858,13,0.3,30
3,60,40,0,1.18,351,9.7,28.7,882,15.9,0.3,30
3,60,40,0,1.18,351,9.8,28.86,883,16.62,0.3,30
3,0,100,0,0.9,290,9.4,27.24,933,10.3,0.3,30
3,0,100,0,0.95,290,9.5,28.95,935,11.52,0.3,30
3,0,100,0,0.97,311,9.5,29.35,993,4.18,0.3,30
3,0,100,0,0.97,311,9.5,29.38,994,4.15,0.3,30
4,100,0,0,0.45,315,9.93,10.08,710,300,0.5,10
4,100,0,0,0.45,328,9.8,9.84,732,69,0.5,10
4,100,0,0,0.455,382,9.8,9.96,732,68,0.5,10
4,0,100,0,0.34,290,9.25,9.49,889,307,0.5,10
4,0,100,0,0.34,290,9.33,9.84,931,204,0.5,10
4,0,100,0,0.351,311,9.29,9.8,929,113,0.5,10
4,0,100,0,0.352,311,9.29,9.77,929,115,0.5,10
4,0,100,0,0.36,328,9.32,9.95,973,18,0.5,10
4,0,100,0,0.36,328,9.24,9.82,969,19.07,0.5,10
4,0,100,0,0.37,354,9.19,9.89,1030,5.6,0.5,10
