Table,1000/T,T (K),Time (ms),Phi,Mix,Pressure (bar),Author,Error,Figure,Ar,DIB1,DIB2,O2,phi (calculated)
1,1.113,898.4725966,11.737,0.50,DIB1,30,Wu2020,0.15,figure 3,0.8783,0.0049,0,0.1168,0.503424658
1,1.115,896.8609865,13.03,0.50,DIB1,30,Wu2020,0.15,figure 3,0.8783,0.0049,0,0.1168,0.503424658
1,1.139,877.9631255,22.437,0.50,DIB1,30,Wu2020,0.15,figure 3,0.8783,0.0049,0,0.1168,0.503424658
1,1.164,859.1065292,47.12,0.50,DIB1,30,Wu2020,0.15,figure 3,0.8783,0.0049,0,0.1168,0.503424658
1,1.187,842.4599832,90.077,0.50,DIB1,30,Wu2020,0.15,figure 3,0.8783,0.0049,0,0.1168,0.503424658
1,1.208,827.8145695,155.106,0.50,DIB1,30,Wu2020,0.15,figure 3,0.8783,0.0049,0,0.1168,0.503424658
2,1.109,901.7132552,6.076,1.00,DIB1,30,Wu2020,0.15,figure 3,0.8741,0.0097,0,0.1162,1.00172117
2,1.159,862.8127696,21.294,1.00,DIB1,30,Wu2020,0.15,figure 3,0.8741,0.0097,0,0.1162,1.00172117
2,1.215,823.0452675,70.094,1.00,DIB1,30,Wu2020,0.15,figure 3,0.8741,0.0097,0,0.1162,1.00172117
2,1.256,796.1783439,144.164,1.00,DIB1,30,Wu2020,0.15,figure 3,0.8741,0.0097,0,0.1162,1.00172117
2,1.258,794.9125596,139.714,1.00,DIB1,30,Wu2020,0.15,figure 3,0.8741,0.0097,0,0.1162,1.00172117
3,1.139,877.9631255,7.257,1.50,DIB1,30,Wu2020,0.15,figure 3,0.8657,0.0192,0,0.1151,2.001737619
3,1.194,837.520938,25.434,1.50,DIB1,30,Wu2020,0.15,figure 3,0.8657,0.0192,0,0.1151,2.001737619
3,1.243,804.5052293,68.644,1.50,DIB1,30,Wu2020,0.15,figure 3,0.8657,0.0192,0,0.1151,2.001737619
3,1.294,772.797527,131.222,1.50,DIB1,30,Wu2020,0.15,figure 3,0.8657,0.0192,0,0.1151,2.001737619
3,1.338,747.3841555,191.163,1.50,DIB1,30,Wu2020,0.15,figure 3,0.8657,0.0192,0,0.1151,2.001737619
4,1.095,913.2420091,10.496,0.50,DIB1,20,Wu2020,0.15,figure 3,0.8783,0.0049,0,0.1168,0.503424658
4,1.126,888.0994671,32.092,0.50,DIB1,20,Wu2020,0.15,figure 3,0.8783,0.0049,0,0.1168,0.503424658
4,1.149,870.3220191,57.599,0.50,DIB1,20,Wu2020,0.15,figure 3,0.8783,0.0049,0,0.1168,0.503424658
4,1.175,851.0638298,135.637,0.50,DIB1,20,Wu2020,0.15,figure 3,0.8783,0.0049,0,0.1168,0.503424658
5,1.111,900.090009,10.172,1.00,DIB1,20,Wu2020,0.15,figure 3,0.8741,0.0097,0,0.1162,1.00172117
5,1.124,889.6797153,14.662,1.00,DIB1,20,Wu2020,0.15,figure 3,0.8741,0.0097,0,0.1162,1.00172117
5,1.17,854.7008547,50.286,1.00,DIB1,20,Wu2020,0.15,figure 3,0.8741,0.0097,0,0.1162,1.00172117
5,1.173,852.514919,60.687,1.00,DIB1,20,Wu2020,0.15,figure 3,0.8741,0.0097,0,0.1162,1.00172117
5,1.223,817.6614881,235.934,1.00,DIB1,20,Wu2020,0.15,figure 3,0.8741,0.0097,0,0.1162,1.00172117
6,1.151,868.8097307,21.354,1.50,DIB1,20,Wu2020,0.15,figure 3,0.8657,0.0192,0,0.1151,2.001737619
6,1.172,853.2423208,38.73,1.50,DIB1,20,Wu2020,0.15,figure 3,0.8657,0.0192,0,0.1151,2.001737619
6,1.204,830.5647841,82.157,1.50,DIB1,20,Wu2020,0.15,figure 3,0.8657,0.0192,0,0.1151,2.001737619
6,1.223,817.6614881,120.915,1.50,DIB1,20,Wu2020,0.15,figure 3,0.8657,0.0192,0,0.1151,2.001737619
6,1.251,799.3605116,223.929,1.50,DIB1,20,Wu2020,0.15,figure 3,0.8657,0.0192,0,0.1151,2.001737619
7,1.132,883.3922261,10.279,0.5,DIB2,30,Wu2020,0.15,figure 3,0.8783,0,0.0049,0.1168,0.503424658
7,1.159,862.8127696,16.276,0.5,DIB2,30,Wu2020,0.15,figure 3,0.8783,0,0.0049,0.1168,0.503424658
7,1.205,829.8755187,38.327,0.5,DIB2,30,Wu2020,0.15,figure 3,0.8783,0,0.0049,0.1168,0.503424658
7,1.227,814.995925,60.687,0.5,DIB2,30,Wu2020,0.15,figure 3,0.8783,0,0.0049,0.1168,0.503424658
7,1.252,798.7220447,92.16,0.5,DIB2,30,Wu2020,0.15,figure 3,0.8783,0,0.0049,0.1168,0.503424658
7,1.29,775.1937984,181.714,0.5,DIB2,30,Wu2020,0.15,figure 3,0.8783,0,0.0049,0.1168,0.503424658
8,1.174,851.7887564,7.593,1,DIB2,30,Wu2020,0.15,figure 3,0.8741,0,0.0097,0.1162,1.00172117
8,1.227,814.995925,18.449,1,DIB2,30,Wu2020,0.15,figure 3,0.8741,0,0.0097,0.1162,1.00172117
8,1.272,786.163522,34.167,1,DIB2,30,Wu2020,0.15,figure 3,0.8741,0,0.0097,0.1162,1.00172117
8,1.314,761.0350076,64.612,1,DIB2,30,Wu2020,0.15,figure 3,0.8741,0,0.0097,0.1162,1.00172117
8,1.352,739.6449704,102.306,1,DIB2,30,Wu2020,0.15,figure 3,0.8741,0,0.0097,0.1162,1.00172117
8,1.355,738.0073801,104.466,1,DIB2,30,Wu2020,0.15,figure 3,0.8741,0,0.0097,0.1162,1.00172117
8,1.392,718.3908046,168.902,1,DIB2,30,Wu2020,0.15,figure 3,0.8741,0,0.0097,0.1162,1.00172117
9,1.208,827.8145695,6.769,1.5,DIB2,30,Wu2020,0.15,figure 3,0.8657,0,0.0192,0.1151,2.001737619
9,1.259,794.2811755,14.21,1.5,DIB2,30,Wu2020,0.15,figure 3,0.8657,0,0.0192,0.1151,2.001737619
9,1.314,761.0350076,29.213,1.5,DIB2,30,Wu2020,0.15,figure 3,0.8657,0,0.0192,0.1151,2.001737619
9,1.356,737.4631268,48.735,1.5,DIB2,30,Wu2020,0.15,figure 3,0.8657,0,0.0192,0.1151,2.001737619
9,1.437,695.8942241,113.57,1.5,DIB2,30,Wu2020,0.15,figure 3,0.8657,0,0.0192,0.1151,2.001737619
9,1.438,695.4102921,113.57,1.5,DIB2,30,Wu2020,0.15,figure 3,0.8657,0,0.0192,0.1151,2.001737619
10,1.072,932.8358209,6.56,0.5,DIB2,20,Wu2020,0.15,figure 3,0.8783,0,0.0049,0.1168,0.503424658
10,1.136,880.2816901,26.315,0.5,DIB2,20,Wu2020,0.15,figure 3,0.8783,0,0.0049,0.1168,0.503424658
10,1.161,861.3264427,42.547,0.5,DIB2,20,Wu2020,0.15,figure 3,0.8783,0,0.0049,0.1168,0.503424658
10,1.208,827.8145695,105.563,0.5,DIB2,20,Wu2020,0.15,figure 3,0.8783,0,0.0049,0.1168,0.503424658
10,1.23,813.0081301,185.55,0.5,DIB2,20,Wu2020,0.15,figure 3,0.8783,0,0.0049,0.1168,0.503424658
11,1.127,887.3114463,8.169,1,DIB2,20,Wu2020,0.15,figure 3,0.8741,0,0.0097,0.1162,1.00172117
11,1.18,847.4576271,19.439,1,DIB2,20,Wu2020,0.15,figure 3,0.8741,0,0.0097,0.1162,1.00172117
11,1.231,812.3476848,41.668,1,DIB2,20,Wu2020,0.15,figure 3,0.8741,0,0.0097,0.1162,1.00172117
11,1.273,785.5459544,84.772,1,DIB2,20,Wu2020,0.15,figure 3,0.8741,0,0.0097,0.1162,1.00172117
11,1.316,759.8784195,163.692,1,DIB2,20,Wu2020,0.15,figure 3,0.8741,0,0.0097,0.1162,1.00172117
12,1.16,862.0689655,7.835,1.5,DIB2,20,Wu2020,0.15,figure 3,0.8657,0,0.0192,0.1151,2.001737619
12,1.215,823.0452675,17.694,1.5,DIB2,20,Wu2020,0.15,figure 3,0.8657,0,0.0192,0.1151,2.001737619
12,1.264,791.1392405,34.889,1.5,DIB2,20,Wu2020,0.15,figure 3,0.8657,0,0.0192,0.1151,2.001737619
12,1.317,759.3014427,76.365,1.5,DIB2,20,Wu2020,0.15,figure 3,0.8657,0,0.0192,0.1151,2.001737619
12,1.359,735.8351729,127.398,1.5,DIB2,20,Wu2020,0.15,figure 3,0.8657,0,0.0192,0.1151,2.001737619
13,1.117,895.2551477,6.094,1.00,DIB1,30,Wu2020,0.15,figure 4a,0.8741,0.0097,0,0.1162,1.00172117
13,1.167,856.8980291,21.428,1.00,DIB1,30,Wu2020,0.15,figure 4a,0.8741,0.0097,0,0.1162,1.00172117
13,1.221,819.000819,70.814,1.00,DIB1,30,Wu2020,0.15,figure 4a,0.8741,0.0097,0,0.1162,1.00172117
13,1.263,791.7656374,144.627,1.00,DIB1,30,Wu2020,0.15,figure 4a,0.8741,0.0097,0,0.1162,1.00172117
14,1.162,860.5851979,10.656,1.00,DIB,30,Wu2020,0.15,figure 4a,0.8741,0.0073,0.0024,0.1162,1.00172117
14,1.213,824.4023083,37.471,1.00,DIB,30,Wu2020,0.15,figure 4a,0.8741,0.0073,0.0024,0.1162,1.00172117
14,1.265,790.513834,104.392,1.00,DIB,30,Wu2020,0.15,figure 4a,0.8741,0.0073,0.0024,0.1162,1.00172117
14,1.309,763.9419404,194.244,1.00,DIB,30,Wu2020,0.15,figure 4a,0.8741,0.0073,0.0024,0.1162,1.00172117
15,1.173,852.514919,7.573,1.00,DIB2,30,Wu2020,0.15,figure 4a,0.8741,0,0.0097,0.1162,1.00172117
15,1.227,814.995925,18.634,1.00,DIB2,30,Wu2020,0.15,figure 4a,0.8741,0,0.0097,0.1162,1.00172117
15,1.271,786.7820614,34.139,1.00,DIB2,30,Wu2020,0.15,figure 4a,0.8741,0,0.0097,0.1162,1.00172117
15,1.314,761.0350076,65.526,1.00,DIB2,30,Wu2020,0.15,figure 4a,0.8741,0,0.0097,0.1162,1.00172117
15,1.355,738.0073801,104.392,1.00,DIB2,30,Wu2020,0.15,figure 4a,0.8741,0,0.0097,0.1162,1.00172117
15,1.393,717.8750897,171.558,1.00,DIB2,30,Wu2020,0.15,figure 4a,0.8741,0,0.0097,0.1162,1.00172117
16,6.249,1600.256041,0.160218,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,6.404,1561.524047,0.253015,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,6.469,1545.833977,0.26084,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,6.629,1508.523156,0.343111,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,6.657,1502.178158,0.712736,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,6.676,1497.902936,0.494518,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,6.732,1485.442662,0.593684,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,6.779,1475.143827,0.575873,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,6.864,1456.876457,0.937539,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,6.967,1435.338022,0.829991,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,7.023,1423.892923,1.02725,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,7.127,1403.114915,1.196246,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,7.192,1390.433815,1.526343,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,7.296,1370.614035,1.62222,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,7.371,1356.668023,1.889098,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,7.474,1337.971635,1.48055,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,7.54,1326.259947,2.410382,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,7.643,1308.386759,2.133881,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,7.69,1300.390117,1.832422,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,7.85,1273.88535,2.641025,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
16,7.93,1261.034048,3.581474,1.00,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.9025,0.0075,0,0.09,1
17,5.864,1705.3206,0.048841,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,6.085,1643.385374,0.07257,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,6.291,1589.572405,0.107829,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,6.366,1570.845115,0.121801,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,6.394,1563.966218,0.137584,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,6.526,1532.33221,0.198296,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,6.563,1523.693433,0.165174,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,6.592,1516.990291,0.210752,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,6.685,1495.886313,0.210752,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,6.817,1466.920933,0.353723,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,6.854,1459.002043,0.509813,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,6.948,1439.263097,0.612046,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,6.995,1429.592566,0.630977,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,7.033,1421.868335,0.829991,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,7.108,1406.865504,0.691353,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,7.164,1395.86823,0.937539,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,7.596,1316.482359,1.351252,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,7.634,1309.929264,1.271389,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
17,7.676,1302.761855,1.393045,0.50,DIB1,1.01325,Metcalfe2007,0.1,figure 1,0.90625,0.00375,0,0.09,0.5
18,6.488,1541.307028,0.128439,1,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.9025,0.0075,0,0.09,1
18,6.524,1532.801962,0.141963,1,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.9025,0.0075,0,0.09,1
18,6.581,1519.525908,0.156911,1,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.9025,0.0075,0,0.09,1
18,6.686,1495.662579,0.201534,1,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.9025,0.0075,0,0.09,1
18,6.727,1486.546752,0.222754,1,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.9025,0.0075,0,0.09,1
18,6.8,1470.588235,0.258847,1,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.9025,0.0075,0,0.09,1
18,6.865,1456.664239,0.293354,1,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.9025,0.0075,0,0.09,1
18,6.962,1436.36886,0.324242,1,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.9025,0.0075,0,0.09,1
18,7.051,1418.238548,0.406159,1,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.9025,0.0075,0,0.09,1
18,7.181,1392.56371,0.50877,1,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.9025,0.0075,0,0.09,1
18,7.278,1374.003847,0.621553,1,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.9025,0.0075,0,0.09,1
18,7.355,1359.619307,0.637306,1,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.9025,0.0075,0,0.09,1
19,6.731,1485.663349,0.079831,0.5,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.8125,0.0075,0,0.18,0.5
19,6.922,1444.669171,0.105133,0.5,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.8125,0.0075,0,0.18,0.5
19,6.978,1433.07538,0.116203,0.5,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.8125,0.0075,0,0.18,0.5
19,7.189,1391.014049,0.164965,0.5,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.8125,0.0075,0,0.18,0.5
19,7.303,1369.300288,0.206641,0.5,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.8125,0.0075,0,0.18,0.5
19,7.424,1346.982759,0.240124,0.5,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.8125,0.0075,0,0.18,0.5
19,7.497,1333.86688,0.279031,0.5,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.8125,0.0075,0,0.18,0.5
19,7.619,1312.508203,0.308411,0.5,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.8125,0.0075,0,0.18,0.5
19,7.773,1286.504567,0.386328,0.5,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.8125,0.0075,0,0.18,0.5
19,8.053,1241.773252,0.48393,0.5,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.8125,0.0075,0,0.18,0.5
20,6.52,1533.742331,0.044893,0.25,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.81625,0.00375,0,0.18,0.25
20,6.695,1493.651979,0.057659,0.25,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.81625,0.00375,0,0.18,0.25
20,6.873,1454.968718,0.081855,0.25,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.81625,0.00375,0,0.18,0.25
20,7.011,1426.330053,0.095118,0.25,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.81625,0.00375,0,0.18,0.25
20,7.059,1416.631251,0.11053,0.25,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.81625,0.00375,0,0.18,0.25
20,7.254,1378.549766,0.14925,0.25,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.81625,0.00375,0,0.18,0.25
20,7.384,1354.279523,0.211879,0.25,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.81625,0.00375,0,0.18,0.25
20,7.469,1338.867318,0.211879,0.25,DIB1,4.053,Metcalfe2007,0.1,figure 2,0.81625,0.00375,0,0.18,0.25
21,6.257,1598.210005,0.176474,1,DIB1,1.01325,Metcalfe2007,0.1,figure 3,0.9025,0.0075,0,0.09,1
21,6.411,1559.819061,0.270203,1,DIB1,1.01325,Metcalfe2007,0.1,figure 3,0.9025,0.0075,0,0.09,1
